price,size,location,total_sqft,price_per_sqft,bhk,bath
24996000,2 BHK,"Sector 28, Nerul,Navi Mumbai",1200,20830,2,2
64986300,4 BHK,"Sector 6, Nerul,Navi Mumbai",3195,20340,4,3
18500000,2 BHK,"Sector 11, Nerul,Navi Mumbai",1250,14800,2,2
180000000,10 BHK ,"Sector 23, Nerul,Navi Mumbai",12000,15000,10,5
65001150,4 BHK,"Sector 28, Nerul,Navi Mumbai",2705,24030,4,3
27995760,3 BHK,"Sector 28, Nerul,Navi Mumbai",1404,19940,3,2
18998000,2 BHK,"Sector 19A, Nerul,Navi Mumbai",1150,16520,2,2
19999800,2 BHK,"Sector 19, Nerul,Navi Mumbai",1230,16260,2,1
29104850,3 BHK,"Sector 12, Nerul,Navi Mumbai",1765,16490,3,2
100016000,4 BHK,"Sector 14, Nerul,Navi Mumbai",3800,26320,4,2
16497300,2 BHK,"Sector 28, Nerul,Navi Mumbai",1270,12990,2,2
29492500,3 BHK,"Sector 21, Nerul,Navi Mumbai",2350,12550,3,1
19999980,2 BHK,"Sector 28, Nerul,Navi Mumbai",1001,19980,2,2
17995000,2 BHK,"Sector 27, Nerul,Navi Mumbai",1220,14750,2,2
24005600,3 BHK,"Sector 9, Nerul,Navi Mumbai",1480,16220,3,2
10995600,2 BHK,Moreshwar 19 East,980,11220,2,1
17996800,2 BHK,"Sector 19, Nerul,Navi Mumbai",1280,14060,2,1
25993000,2 BHK,"Sector 18A, Nerul,Navi Mumbai",1390,18700,2,1
29505000,3 BHK,"Sector 19A, Nerul,Navi Mumbai",1750,16860,3,2
7501000,1 BHK,"Sector 15, Nerul,Navi Mumbai",650,11540,1,1
17503000,2 BHK,"Sector 27, Nerul,Navi Mumbai",1150,15220,2,1
17493000,2 BHK,"Sector 25, Nerul,Navi Mumbai",1275,13720,2,1
5797000,1 BHK,"Sector 6, Nerul,Navi Mumbai",550,10540,1,1
45010000,5 BHK,"Sector 19A, Nerul,Navi Mumbai",3500,12860,5,2
56813400,6 BHK,"Sector 19, Nerul,Navi Mumbai",3780,15030,6,3
5700500,1 BHK,"Sector 6, Nerul,Navi Mumbai",650,8770,1,1
17496000,2 BHK,"Sector 19, Nerul,Navi Mumbai",1200,14580,2,1
20003200,2 BHK,"Sector 19A, Nerul,Navi Mumbai",1120,17860,2,1
7499400,1 BHK,"Sector 19A, Nerul,Navi Mumbai",580,12930,1,1
