price,size,location,total_sqft,price_per_sqft,bhk
2.5 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1200 sq.ft,20.83 K/sq.ft,2
6.5 Cr,4 BHK,"Sector 6, Nerul,Navi Mumbai",3195 sq.ft,20.34 K/sq.ft,4
1.85 Cr,2 BHK,"Sector 11, Nerul,Navi Mumbai",1250 sq.ft,14.80 K/sq.ft,2
18.0 Cr,10 BHK ,"Sector 23, Nerul,Navi Mumbai",12000 sq.ft,15.00 K/sq.ft,10
6.5 Cr,4 BHK,"Sector 28, Nerul,Navi Mumbai",2705 sq.ft,24.03 K/sq.ft,4
2.8 Cr,3 BHK,"Sector 28, Nerul,Navi Mumbai",1404 sq.ft,19.94 K/sq.ft,3
1.9 Cr,2 BHK,"Sector 19A, Nerul,Navi Mumbai",1150 sq.ft,16.52 K/sq.ft,2
2.0 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1230 sq.ft,16.26 K/sq.ft,2
2.91 Cr,3 BHK,"Sector 12, Nerul,Navi Mumbai",1765 sq.ft,16.49 K/sq.ft,3
10.0 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3800 sq.ft,26.32 K/sq.ft,4
1.65 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1270 sq.ft,12.99 K/sq.ft,2
2.95 Cr,3 BHK,"Sector 21, Nerul,Navi Mumbai",2350 sq.ft,12.55 K/sq.ft,3
2.0 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1001 sq.ft,19.98 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1220 sq.ft,14.75 K/sq.ft,2
2.4 Cr,3 BHK,"Sector 9, Nerul,Navi Mumbai",1480 sq.ft,16.22 K/sq.ft,3
1.1 Cr,2 BHK,Moreshwar 19 East,980 sq.ft,11.22 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1280 sq.ft,14.06 K/sq.ft,2
2.6 Cr,2 BHK,"Sector 18A, Nerul,Navi Mumbai",1390 sq.ft,18.70 K/sq.ft,2
2.95 Cr,3 BHK,"Sector 19A, Nerul,Navi Mumbai",1750 sq.ft,16.86 K/sq.ft,3
75.0 L,1 BHK,"Sector 15, Nerul,Navi Mumbai",650 sq.ft,11.54 K/sq.ft,1
1.75 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1150 sq.ft,15.22 K/sq.ft,2
1.75 Cr,2 BHK,"Sector 25, Nerul,Navi Mumbai",1275 sq.ft,13.72 K/sq.ft,2
58.0 L,1 BHK,"Sector 6, Nerul,Navi Mumbai",550 sq.ft,10.54 K/sq.ft,1
4.5 Cr,5 BHK,"Sector 19A, Nerul,Navi Mumbai",3500 sq.ft,12.86 K/sq.ft,5
5.68 Cr,6 BHK,"Sector 19, Nerul,Navi Mumbai",3780 sq.ft,15.03 K/sq.ft,6
57.0 L,1 BHK,"Sector 6, Nerul,Navi Mumbai",650 sq.ft,8.77 K/sq.ft,1
1.75 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1200 sq.ft,14.58 K/sq.ft,2
2.0 Cr,2 BHK,"Sector 19A, Nerul,Navi Mumbai",1120 sq.ft,17.86 K/sq.ft,2
75.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",580 sq.ft,12.93 K/sq.ft,1
65.0 L,1 BHK,"Sector 6, Nerul,Navi Mumbai",400 sq.ft,16.25 K/sq.ft,1
1.25 Cr,2 BHK,"Sector 23, Nerul,Navi Mumbai",1280 sq.ft,9.77 K/sq.ft,2
2.13 Cr,2 BHK,"Sector 12, Nerul,Navi Mumbai",1270 sq.ft,16.80 K/sq.ft,2
3.0 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",2070 sq.ft,14.49 K/sq.ft,4
1.35 Cr,2 BHK,"Sector 20, Nerul,Navi Mumbai",1050 sq.ft,12.86 K/sq.ft,2
3.45 Cr,3 BHK,"Sector 18A, Nerul,Navi Mumbai",1440 sq.ft,23.96 K/sq.ft,3
1.79 Cr,2 BHK,"Sector 12, Nerul,Navi Mumbai",1221 sq.ft,14.66 K/sq.ft,2
2.0 Cr,2 BHK,"Sector 29, Nerul,Navi Mumbai",1200 sq.ft,16.67 K/sq.ft,2
83.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",615 sq.ft,13.49 K/sq.ft,1
