Image,price,emi,a,size,b,c,society,d,location,possession,total_sqft,price_per_sqft,,description,image,e,agent,Title,cta,cta8
,2 Cr - 3.7 Cr,EMI starts at 99.29 K,,,,,,,"Nerul,Navi Mumbai",Possession Starts,"Jun, 2024",22.08 K/sq.ft,,"L And T Seawoods Residences North Towers is a residential project in Nerul, Navi Mumbai. L And T Seawoods Residences North Towers offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 770.0 - 1240.0 sq.ft.. The property is Under Construction. There are 3 buildings for sale. L And T Seawoods Residences North Towers is located in Navi Mumbai, Seawoods. The project is developed by L&T Realty. There are 241 units for sale.Badminton Court - these are some avenues for sports lovers. Residents can make use of Amphitheatre, provision...",https://is1-3.housingcdn.com/fb15c03b/616f20279c9536d4e6aa0db8922483c6/v0/thumb.jpeg.webp,,HomeBazaar.com,Seller,View Phone,Contact
,20.0 L - 33.5 L,EMI starts at 10.59 K,,,,,,,"Khopoli,Navi Mumbai",Possession Status,Ready to Move,,,"Situated in Khopoli at Shri Ram Nagar, Neelkanth Valley II is a residential development launched by Neelkanth Infracon. This project provides a vast range of amenities including . Prominent suburbs of Khopoli are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.",https://is1-3.housingcdn.com/0b8ad14c/75ff382816beeb7f7ac4fb801c697bd7/v0/thumb.jpg.webp,,Neelkanth Properties,Developer,View Phone,Contact
https://is1-2.housingcdn.com/01c16c28/1dafa833fdf432778969a99aa414ddf2/v0/medium/2_bhk_apartment-for-sale-nerul-Navi+Mumbai-others.jpg.webp,2.5 Cr,EMI starts at 1.24 Lacs,,2 BHK,,,Metro Tulsi Sagar,,"Sector 28, Nerul,Navi Mumbai",Build Up Area,1200 sq.ft,20.83 K/sq.ft,,"2 BHK for sale on PALM BEACH ROAD at Nerul, on Higher floor With Classic Sea View, in well recognized multistory apartment.It’s a brand new flat with small balcony, Spacious Room & also use Lobby for your Personal Use.The Building have Garden&GYM, Swimming Pool,Power back up,Walkable from railway station, near hotel, More retail, Fair Price, Big Bazar, AXIS bank, HDFC Bank, IBDI Bank, , schools, Temple and many more with very good area twenty-four hours water supply twenty-four hours electricity facility and many facilities are also available contact for more details.",https://is1-2.housingcdn.com/fb15c03b/3e887d39415f4c0bff3adbd9b4b36ffd/v1/thumb.jpg.webp,,Shokin Bafna,,View Phone,Contact
https://is1-2.housingcdn.com/4f2250e8/437d02a8e365debebe92f5f16bc80452/v0/medium/l_and_t_seawoods_residences_phase_i-seawoods-mumbai-lt_realty.jpg.webp,1.6 Cr - 3.5 Cr,EMI starts at 79.38 K,,,,,,,"Seawoods,Palm Beach Road - Seawoods,Navi Mumbai",Possession Starts,"Jun, 2024",32.43 K/sq.ft,,"Seawoods Residences Phase Iisa premium housing project launched by L&T Realtyin Seawoods, Mumbai. This structure is strategically planned and ensures that you will not have any qualms once you move in to these homes with your loved ones. For a stress-free life equipped with all the modern amenities and features, this development would be the right choice.Seawoods is among the most urbanized localities in Mumbai. It is an upscale locality with majority of people belonging to the high-income group and non-resident Indian. The locality came into existence when Mumbai city started witnessing short...",,,s.v.incorporation,Seller + 2 more,View Phone,Contact
https://is1-2.housingcdn.com/4f2250e8/dea68ac2fd2518f21bbea68db9246acf/v0/medium/moreshwar_19_east-nerul-mumbai-moreshwar_developers_nerul.jpeg.webp,1.37 Cr - 2.85 Cr,EMI starts at 68.20 K,,,,,"Nerul,Navi Mumbai",,"Nerul,Navi Mumbai",Possession Starts,"Jun, 2025",21.67 K/sq.ft,,"Moreshwar 19 East is a residential project developed by Moreshwar Developers Nerul at Nerul in Nerul. The project aims to offer a comfortable living condition to the residents by encompassing Storm Water Drains, Solid Waste Management And Disposal, Landscaping & Tree Planting, Fire Protection And Fire Safety Requirements and Energy Management, adding to its existing many facilities. ",https://is1-3.housingcdn.com/fb15c03b/0ea26e8806f053a5ce186c71c7c035d5/v0/thumb.jpg.webp,,Bhagat Real Estate,Seller + 1 more,View Phone,Contact
https://is1-2.housingcdn.com/01c16c28/3112a37edd9ee93792ac24ac387cfbfa/v0/medium/4_bhk_apartment-for-sale-nerul-Navi+Mumbai-hall.jpg.webp,6.5 Cr,EMI starts at 3.23 Lacs,,4 BHK,,,Shree Green Valley Acropolis,,"Sector 6, Nerul,Navi Mumbai",Build Up Area,3195 sq.ft,20.34 K/sq.ft,,"A 4 BHK Apartment for sale in Nerul, Navi Mumbai. This beautifully designed 4 BHK unit with all the modern-day comforts is one of Nerul's most desired properties. Contact now for more information. This 4 BHK unit is on floor 28. There are 28 floors in this property. The price of this Apartment is Rs 6.5 Cr. Maintenance charges come to Rs 6000. Each unit has a built-up area of 3195 Square feet. The carpet area is 1800 Square feet. There are 4 bedrooms. There is provision for 4 bathroom. This residential property is near Kidzee, Wonderbuds International Preschool, and Jungle Bell,Play School,Nur...",https://is1-2.housingcdn.com/fb15c03b/05a65089e1888ebdb931871df5c6b608/v0/thumb.jpg.webp,,Reliant Advisory,,View Phone,Contact
,1.85 Cr,EMI starts at 91.85 K,,2 BHK,,,Laxmanbhai Laxcon Plaza,,"Sector 11, Nerul,Navi Mumbai",Build Up Area,1250 sq.ft,14.80 K/sq.ft,,"2 BHK Apartment for sale in Mumbai. This property is in Nerul, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 9. The total number of floors in this Apartment is 14. The price of the Apartment is Rs 1.85 Cr. Monthly maintenance charges come to Rs 3500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1250 Square feet. The carpet area is 750 Square feet. It has 2 bathroom and 2 bedrooms. Some of the very well-know...",,,Harmony Realtors,,View Phone,Contact
,18.0 Cr,EMI starts at 8.94 Lacs,,10 BHK ,,,Parsik Hill,,"Sector 23, Nerul,Navi Mumbai",Build Up Area,12000 sq.ft,15.00 K/sq.ft,,"10 BHK Bungalow For sale at Parsik Hill Navi Mumbai. 

500 Sq.mt Plot Area
200 Sq.mt garden Area
total Area 700 Sq.mt

Construction On Plot 12000 Sq,ft  Built-up

carpet area 8000 Sq.ft
G+2 plus Terrace 

Kindly call for site visit
",,,Property Brothers Realty,,View Phone,Contact
,6.5 Cr,EMI starts at 3.23 Lacs,,4 BHK,,,Metro Tulsi Sagar,,"Sector 28, Nerul,Navi Mumbai",Build Up Area,2705 sq.ft,24.03 K/sq.ft,,"A beautiful 4BHK with servent room  for sale in tulshi Sagar Nerul  Navi Mumbai . The apartment is in a good locality which enjoy a good connectivity in rest of Navi Mumbai. It has convenient facilities such as school, bank, ATMs, college, temple, market and restaurants. It is a superb property and offers an excellent view. The flat is Semifurnished. It promises a comfortable stay. The apartment has 3covered  parking. It is a east facing property which offers a wonderful view of park. As it is a gated society u can be assured of security.",,,Bhagat Real Estate,,View Phone,Contact
,3.0 Cr,EMI starts at 1.49 Lacs,,3 BHK,,,"NEW PROJECT IN SECTOR 6 NERUL,Sector 6, Nerul,Navi Mumbai",,,Build Up Area,1765 sq.ft,17.00 K/sq.ft,,"3 BHK SECTOR 6 NERUL
UNDER CONSTRUCTION
POSSESSION 2024
ALL AMENITIES 
AREA 1765 SQ.FT. BUILT UP & 1065 SQ.FT.CARPET  ",,,Gagan Arya,,View Phone,Contact
